movie,director,m_year,critic,crit_org,crit_cn
Mulholland Drive,David Lynch,2001,Simon Abrams,Freelance film critic,US
In the Mood for Love,Wong Kar-wai,2000,Simon Abrams,Freelance film critic,US
The Tree of Life,Terrence Malick,2011,Simon Abrams,Freelance film critic,US
Yi Yi: A One and a Two,Edward Yang,2000,Simon Abrams,Freelance film critic,US
Goodbye to Language,Jean-Luc Godard,2014,Simon Abrams,Freelance film critic,US
The White Meadows,Mohammad Rasoulof,2009,Simon Abrams,Freelance film critic,US
Night Across the Street,Raoul Ruiz,2012,Simon Abrams,Freelance film critic,US
Certified Copy,Abbas Kiarostami,2010,Simon Abrams,Freelance film critic,US
Sparrow,Johnnie To,2008,Simon Abrams,Freelance film critic,US
Fados,Carlos Saura,2007,Simon Abrams,Freelance film critic,US
In the Mood for Love,Wong Kar-wai,2000,Sam Adams,Freelance film critic,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Sam Adams,Freelance film critic,US
Syndromes and a Century,Apichatpong Weerasethakul,2006,Sam Adams,Freelance film critic,US
Spirited Away,Hayao Miyazaki,2001,Sam Adams,Freelance film critic,US
The Act of Killing,Joshua Oppenheimer,2012,Sam Adams,Freelance film critic,US
The Grand Budapest Hotel,Wes Anderson,2014,Sam Adams,Freelance film critic,US
The New World,Terrence Malick,2004,Sam Adams,Freelance film critic,US
Certified Copy,Abbas Kiarostami,2010,Sam Adams,Freelance film critic,US
The World,Jia Zhangke,2004,Sam Adams,Freelance film critic,US
Elephant,Gus Van Sant,2003,Sam Adams,Freelance film critic,US
Zero Dark Thirty,Kathryn Bigelow,2012,Thelma Adams,Freelance film critic,US
A History of Violence,David Cronenberg,2005,Thelma Adams,Freelance film critic,US
The Grand Budapest Hotel,Wes Anderson,2014,Thelma Adams,Freelance film critic,US
Stories We Tell,Sarah Polley,2012,Thelma Adams,Freelance film critic,US
Casino Royale,Martin Campbell,2006,Thelma Adams,Freelance film critic,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Thelma Adams,Freelance film critic,US
Tabu,Miguel Gomes,2012,Thelma Adams,Freelance film critic,US
Snow White,Pablo Berger,2012,Thelma Adams,Freelance film critic,US
Frozen River,Courtney Hunt,2008,Thelma Adams,Freelance film critic,US
Gosford Park,Robert Altman,2001,Thelma Adams,Freelance film critic,US
In the Mood for Love,Wong Kar-wai,2000,Arturo Aguilar,Rolling Stone Mexico,Mexico
Mulholland Drive,David Lynch,2001,Arturo Aguilar,Rolling Stone Mexico,Mexico
Inception,Christopher Nolan,2010,Arturo Aguilar,Rolling Stone Mexico,Mexico
Pan's Labyrinth,Guillermo Del Toro,2006,Arturo Aguilar,Rolling Stone Mexico,Mexico
Caché,Michael Haneke,2005,Arturo Aguilar,Rolling Stone Mexico,Mexico
Grizzly Man,Werner Herzog,2005,Arturo Aguilar,Rolling Stone Mexico,Mexico
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Arturo Aguilar,Rolling Stone Mexico,Mexico
Holy Motors,Leos Carax,2012,Arturo Aguilar,Rolling Stone Mexico,Mexico
The Last of the Unjust,Claude Lanzmann,2013,Arturo Aguilar,Rolling Stone Mexico,Mexico
There Will Be Blood,Paul Thomas Anderson,2007,Arturo Aguilar,Rolling Stone Mexico,Mexico
The Piano Teacher,Michael Haneke,2001,Matthew Anderson,BBC Culture,UK
Margaret,Kenneth Lonergan,2011,Matthew Anderson,BBC Culture,UK
American Psycho,Mary Harron,2000,Matthew Anderson,BBC Culture,UK
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Matthew Anderson,BBC Culture,UK
Caché,Michael Haneke,2005,Matthew Anderson,BBC Culture,UK
Mulholland Drive,David Lynch,2001,Matthew Anderson,BBC Culture,UK
Lourdes,Jessica Hausner,2009,Matthew Anderson,BBC Culture,UK
Red Road,Andrea Arnold,2006,Matthew Anderson,BBC Culture,UK
Boyhood,Richard Linklater,2014,Matthew Anderson,BBC Culture,UK
Tony Manero,Pablo Larraín,2008,Matthew Anderson,BBC Culture,UK
No Country For Old Men,Joel and Ethan Coen,2007,Tim Appelo,The Wrap,US
Spirited Away,Hayao Miyazaki,2001,Tim Appelo,The Wrap,US
A Separation,Asghar Farhadi,2011,Tim Appelo,The Wrap,US
Pan's Labyrinth,Guillermo Del Toro,2006,Tim Appelo,The Wrap,US
Finding Nemo,Andrew Stanton and Lee Unkrich,2003,Tim Appelo,The Wrap,US
Hero,Zhang Yimou,2002,Tim Appelo,The Wrap,US
The Wolf of Wall Street,Martin Scorsese,2013,Tim Appelo,The Wrap,US
Mother,Bong Joon-ho,2009,Tim Appelo,The Wrap,US
The Bourne Ultimatum,Paul Greengrass,2007,Tim Appelo,The Wrap,US
Traffic,Steven Soderbergh,2000,Tim Appelo,The Wrap,US
These Encounters of Theirs,Danièle Huillet and Jean-Marie Straub,2006,Adriano Aprà,Film historian,Italy
Vincere,Marco Bellocchio,2009,Adriano Aprà,Film historian,Italy
Le quattro volte,Michelangelo Frammartino,2010,Adriano Aprà,Film historian,Italy
The Profession of Arms,Ermanno Olmi,2001,Adriano Aprà,Film historian,Italy
Gostanza da Libbiano,Paolo Benvenuti,2000,Adriano Aprà,Film historian,Italy
Storia di una donna amata e di un assassino gentile,Luigi M. Faccini,2009,Adriano Aprà,Film historian,Italy
At the First Breath of Wind,Franco Piavoli,2003,Adriano Aprà,Film historian,Italy
Sangue,Pippo Delbono,2013,Adriano Aprà,Film historian,Italy
Terra,Marco De Angelis and Antonio Di Trapani,2015,Adriano Aprà,Film historian,Italy
Oh! Man,Yervant Gianikian and Angela Ricci Lucchi,2004,Adriano Aprà,Film historian,Italy
"Synecdoche, New York",Charlie Kaufman,2008,Michael Arbeiter,Nerdist,US
Mulholland Drive,David Lynch,2001,Michael Arbeiter,Nerdist,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Michael Arbeiter,Nerdist,US
Black Swan,Darren Aronofsky,2010,Michael Arbeiter,Nerdist,US
The Comedy,Rick Alverson,2012,Michael Arbeiter,Nerdist,US
Melancholia,Lars von Trier,2011,Michael Arbeiter,Nerdist,US
Inglourious Basterds,Quentin Tarantino,2009,Michael Arbeiter,Nerdist,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Michael Arbeiter,Nerdist,US
Only Lovers Left Alive,Jim Jarmusch,2013,Michael Arbeiter,Nerdist,US
